ID,Language,Why_A_Wrong,Why_B_Wrong,Why_C_Wrong,Review_Status,Reviewer_Comments
220,AR,انتهت الحرب العالمية الثانية في سبتمبر 1945، وليس في يناير. هذا التاريخ مهم، لكنه ليس محور تركيز يوم 27 يناير.,تم اعتماد القانون الأساسي (Grundgesetz) في مايو 1949. هذا تاريخ مهم منفصل في التاريخ الألماني.,حدثت إعادة توحيد ألمانيا في 3 أكتوبر 1990. وهذا حدث تاريخي آخر متميز.,,
221,EN,,"Incorrect. The Schengen Agreement does not remove ALL border controls for entry into Germany. External borders are still controlled, and entry requirements exist for non-EU citizens.","Incorrect. The Schengen Agreement applies to its member states within Europe. Germans cannot travel passport-free to every country in the world, only to other Schengen Area countries.",,
221,DE,,"Falsch. Das Schengener Abkommen hebt NICHT ALLE Grenzkontrollen für die Einreise nach Deutschland auf. Die Außengrenzen werden weiterhin kontrolliert, und es bestehen Einreisebestimmungen für Nicht-EU-Bürger.","Falsch. Das Schengener Abkommen gilt für seine Mitgliedstaaten innerhalb Europas. Deutsche können nicht in jedes Land der Welt ohne Pass reisen, sondern nur in andere Länder des Schengen-Raums.",,
221,TR,,"Yanlış. Schengen Anlaşması, Almanya'ya giriş için TÜM sınır kontrollerini kaldırmıyor. Dış sınırlar hala kontrol ediliyor ve AB vatandaşı olmayanlar için giriş şartları mevcut.","Yanlış. Schengen Anlaşması, Avrupa'daki üye devletler için geçerlidir. Almanlar dünyadaki her ülkeye pasaport olmadan seyahat edemezler, yalnızca diğer Schengen Bölgesi ülkelerine seyahat edebilirler.",,
221,UK,,"Неправильно. Шенгенська угода НЕ скасовує ВСІ прикордонні контролі для в'їзду до Німеччини. Зовнішні кордони все ще контролюються, існують вимоги до в'їзду для громадян країн, що не входять до ЄС.","Неправильно. Шенгенська угода застосовується до її держав-членів у Європі. Німці не можуть подорожувати без паспорта до кожної країни світу, лише до інших країн Шенгенської зони.",,
221,AR,,خاطئ. اتفاقية شينغن لا تُلغي جميع الضوابط الحدودية لدخول ألمانيا. لا تزال الحدود الخارجية تخضع للمراقبة، وهناك متطلبات دخول لمواطني الدول غير الأعضاء في الاتحاد الأوروبي.,خاطئ. تنطبق اتفاقية شينغن على الدول الأعضاء فيها داخل أوروبا. لا يمكن للألمان السفر بدون جواز سفر إلى كل دولة في العالم، بل فقط إلى دول منطقة شينغن الأخرى.,,
222,EN,Hungary is not a neighboring country of Germany. It is located further east in Central Europe.,"Portugal is located on the Iberian Peninsula, far to the southwest of Germany, and does not share any borders.","Spain is located on the Iberian Peninsula, far to the southwest of Germany, and does not share any borders.",,
222,DE,Ungarn ist kein Nachbarland von Deutschland. Es liegt weiter östlich in Mitteleuropa.,"Portugal liegt auf der Iberischen Halbinsel, weit südwestlich von Deutschland, und hat keine gemeinsamen Grenzen.","Spanien liegt auf der Iberischen Halbinsel, weit südwestlich von Deutschland, und hat keine gemeinsamen Grenzen.",,
222,TR,"Macaristan, Almanya'nın komşu bir ülkesi değildir. Orta Avrupa'da daha doğuda yer almaktadır.","Portekiz, İber Yarımadası'nda, Almanya'nın çok güneybatısında yer alır ve herhangi bir sınır paylaşmaz.","İspanya, İber Yarımadası'nda, Almanya'nın çok güneybatısında yer alır ve herhangi bir sınır paylaşmaz.",,
222,UK,Угорщина не є сусідньою країною з Німеччиною. Вона розташована далі на схід у Центральній Європі.,"Португалія розташована на Піренейському півострові, далеко на південний захід від Німеччини, і не має спільних кордонів.","Іспанія розташована на Піренейському півострові, далеко на південний захід від Німеччини, і не має спільних кордонів.",,
222,AR,المجر ليست دولة مجاورة لألمانيا. تقع في أقصى شرق أوروبا الوسطى.,تقع البرتغال في شبه الجزيرة الأيبيرية، بعيدًا إلى الجنوب الغربي من ألمانيا، ولا تشترك في أي حدود.,تقع إسبانيا في شبه الجزيرة الأيبيرية، بعيدًا إلى الجنوب الغربي من ألمانيا، ولا تشترك في أي حدود.,,
223,EN,"Romania is not a neighboring country of Germany. It is located southeast of Germany, separated by other countries like Austria and Hungary.","Bulgaria is not a neighbor of Germany. It lies further southeast, separated by several other countries.",,,
223,DE,"Rumänien ist kein Nachbarland von Deutschland. Es liegt südöstlich von Deutschland, getrennt durch Länder wie Österreich und Ungarn.","Bulgarien ist kein Nachbarland von Deutschland. Es liegt weiter südöstlich, getrennt durch mehrere andere Länder.",,,
223,TR,"Romanya, Almanya'nın komşusu değildir. Almanya'nın güneydoğusunda, Avusturya ve Macaristan gibi ülkelerle ayrılmıştır.","Bulgaristan, Almanya'nın komşusu değildir. Daha güneydoğuda, birkaç ülkeyle ayrılmış şekilde yer almaktadır.",,,
223,UK,"Румунія не є сусідньою країною з Німеччиною. Вона розташована на південний схід від Німеччини, відокремлена такими країнами, як Австрія та Угорщина.","Болгарія не є сусідом Німеччини. Вона розташована далі на південний схід, відокремлена кількома іншими країнами.",,,
223,AR,رومانيا ليست دولة مجاورة لألمانيا. تقع جنوب شرق ألمانيا، ويفصل بينهما بلدان أخرى مثل النمسا والمجر.,بلغاريا ليست جارة لألمانيا. تقع في أقصى الجنوب الشرقي، ويفصل بينهما العديد من البلدان الأخرى.,,,
224,EN,"Europäische Unternehmen translates to 'European Companies.'  This refers to businesses operating within Europe, not the political and economic union itself.",,"Einheitliche Union translates to 'Unified Union.' While the EU aims for unity in certain areas, this term isn't the official abbreviation and doesn't accurately represent the EU's complex structure.",,
224,DE,"""Europäische Unternehmen"" bedeutet ""Europäische Firmen"". Dies bezieht sich auf Unternehmen, die in Europa tätig sind, nicht auf die politische und wirtschaftliche Union selbst.",,"""Einheitliche Union"" bedeutet zwar ""Vereinigte Union"".  Die EU strebt zwar in bestimmten Bereichen Einheit an, aber dieser Begriff ist nicht die offizielle Abkürzung und repräsentiert nicht die komplexe Struktur der EU.",,
224,TR,"Avrupa Şirketleri, Avrupa'da faaliyet gösteren işletmeleri ifade eder, siyasi ve ekonomik birliği değil.",,"Birleşik Birlik, AB'nin belirli alanlarda birlik için çabaladığını ima etse de, bu terim resmi kısaltma değildir ve AB'nin karmaşık yapısını doğru bir şekilde temsil etmemektedir.",,
224,UK,"«Європейські компанії» стосується підприємств, що працюють у Європі, а не самого політичного та економічного союзу.",,"«Єдина спілка» – хоча ЄС прагне до єдності в певних сферах, цей термін не є офіційною абревіатурою і неточно відображає складну структуру ЄС.",,
224,AR,"""الشركات الأوروبية"" تشير إلى الشركات التي تعمل داخل أوروبا، وليس الاتحاد السياسي والاقتصادي نفسه.",,"""الاتحاد الموحد"" يشير إلى الاتحاد الموحد, بينما يسعى الاتحاد الأوروبي إلى الوحدة في بعض المجالات، فإن هذا المصطلح ليس الاختصار الرسمي ولا يمثل بدقة الهيكل المعقد للاتحاد الأوروبي.",,
225,EN,"Czechia (Tschechien) has a history with German speakers, particularly in the Sudetenland region, but German is not an official language and is spoken by a very small minority today.",Norway (Norwegen) is a Scandinavian country with its own distinct language.  German is not widely spoken or officially recognized.,"Spain (Spanien) has Spanish as its official language. While some Germans reside in Spain, particularly in tourist areas, German is not an official language and is not spoken by a significant portion of the population.",,
225,DE,"Tschechien hat eine Geschichte mit deutschsprachigen Einwohnern, insbesondere im Sudetenland, aber Deutsch ist keine Amtssprache und wird heute nur von einer sehr kleinen Minderheit gesprochen.",Norwegen ist ein skandinavisches Land mit einer eigenen Sprache. Deutsch wird weder weit verbreitet noch offiziell anerkannt.,"Spanien hat Spanisch als Amtssprache. Obwohl einige Deutsche in Spanien leben, insbesondere in Touristengebieten, ist Deutsch keine Amtssprache und wird nicht von einem bedeutenden Teil der Bevölkerung gesprochen.",,
225,TR,"Çekya'nın (Tschechien), özellikle Südet bölgesinde, Almanca konuşanlarla bir geçmişi vardır, ancak Almanca resmi bir dil değildir ve bugün çok küçük bir azınlık tarafından konuşulmaktadır.","Norveç (Norwegen), kendine özgü bir dile sahip İskandinav bir ülkedir. Almanca yaygın olarak konuşulmamaktadır veya resmi olarak tanınmamaktadır.","İspanya'nın (Spanien) resmi dili İspanyolcadır. Bazı Almanlar, özellikle turistik bölgelerde İspanya'da ikamet etseler de, Almanca resmi bir dil değildir ve nüfusun önemli bir kısmı tarafından konuşulmamaktadır.",,
225,UK,"Чехія (Tschechien) має історію з німецькомовними, особливо в регіоні Судетів, але німецька не є офіційною мовою і нею розмовляє дуже невелика меншість сьогодні.",Норвегія (Norwegen) – скандинавська країна з власною окремою мовою. Німецька мова не є широко розповсюдженою або офіційно визнаною.,"Іспанія (Spanien) має іспанську як офіційну мову. Хоча деякі німці проживають в Іспанії, особливо в туристичних районах, німецька не є офіційною мовою і нею не розмовляє значна частина населення.",,
225,AR,جمهورية التشيك (Tschechien) لها تاريخ مع المتحدثين باللغة الألمانية، وخاصة في منطقة سوديتنلاند، لكن اللغة الألمانية ليست لغة رسمية ويتحدث بها أقلية صغيرة جدًا اليوم.,النرويج (Norwegen) هي دولة إسكندنافية ولها لغتها الخاصة المتميزة. اللغة الألمانية ليست منتشرة على نطاق واسع أو معترف بها رسميًا.,إسبانيا (Spanien) لغتها الرسمية هي الإسبانية. على الرغم من إقامة بعض الألمان في إسبانيا، وخاصة في المناطق السياحية، فإن اللغة الألمانية ليست لغة رسمية ولا يتحدث بها جزء كبير من السكان.,,
226,EN,"Image 1 shows the flag of the United States of America, with its characteristic stars and stripes. This is incorrect as the question asks for the EU flag.","Image 2 shows a stylized 'C' design on a blue background. This is not the flag of any recognized country or organization, and certainly not the EU.",,,
226,DE,"Bild 1 zeigt die Flagge der Vereinigten Staaten von Amerika mit ihren charakteristischen Sternen und Streifen. Dies ist falsch, da die Frage nach der EU-Flagge fragt.","Bild 2 zeigt ein stilisiertes ""C""-Design auf blauem Hintergrund. Dies ist nicht die Flagge eines anerkannten Landes oder einer Organisation und schon sicher nicht die der EU.",,,
226,TR,"Resim 1, karakteristik yıldızları ve çizgileriyle Amerika Birleşik Devletleri bayrağını göstermektedir. Soru AB bayrağını sorduğu için bu yanlıştır.","Resim 2, mavi bir arka plan üzerinde stilize edilmiş bir 'C' tasarımı göstermektedir. Bu, tanınan herhangi bir ülkenin veya kuruluşun bayrağı değildir ve kesinlikle AB'nin bayrağı değildir.",,,
226,UK,"На зображенні 1 зображено прапор Сполучених Штатів Америки з характерними зірками та смугами. Це неправильно, оскільки в питанні запитується прапор ЄС.","На зображенні 2 зображено стилізований дизайн ""C"" на синьому фоні. Це не прапор жодної визнаної країни чи організації, і точно не ЄС.",,,
226,AR,تُظهر الصورة 1 علم الولايات المتحدة الأمريكية، مع نجومه وخطوطه المميزة. هذا غير صحيح لأن السؤال يسأل عن علم الاتحاد الأوروبي.,"تُظهر الصورة 2 تصميم ""C"" منمقًا على خلفية زرقاء. هذا ليس علم أي دولة أو منظمة معترف بها، وبالتأكيد ليس علم الاتحاد الأوروبي.",,,
227,EN,Finland is not a neighboring country of Germany. It is located further north across the Baltic Sea.,,"Norway is not a neighboring country of Germany.  It is located to the north of Denmark, separated from Germany by the Skagerrak strait.",,
227,DE,Finnland ist kein Nachbarland von Deutschland. Es liegt weiter nördlich über die Ostsee.,,"Norwegen ist kein Nachbarland von Deutschland. Es liegt nördlich von Dänemark, getrennt von Deutschland durch das Skagerrak.",,
227,TR,"Finlandiya, Almanya'nın komşu bir ülkesi değildir. Baltık Denizi'nin karşısında daha kuzeyde yer almaktadır.",,"Norveç, Almanya'nın komşu bir ülkesi değildir. Danimarka'nın kuzeyinde, Almanya'dan Skagerrak boğazı ile ayrılmış şekilde yer almaktadır.",,
227,UK,Фінляндія не є сусідньою країною з Німеччиною. Вона розташована далі на північ через Балтійське море.,,"Норвегія не є сусідньою країною з Німеччиною. Вона розташована на північ від Данії, відокремлена від Німеччини протокою Скагеррак.",,
227,AR,فنلندا ليست دولة مجاورة لألمانيا. تقع في أقصى الشمال عبر بحر البلطيق.,,النرويج ليست دولة مجاورة لألمانيا. تقع شمال الدنمارك، ويفصلها عن ألمانيا مضيق سكاجيراك.,,
229,EN,Spain is located in southwestern Europe on the Iberian Peninsula and is not a neighbor of Germany.,Bulgaria is located in southeastern Europe on the Balkan Peninsula and is not a neighbor of Germany.,"Norway is located in Northern Europe, sharing a maritime border with Germany in the North Sea, but not a land border, thus not considered a direct neighbor in the context of this question.",,
229,DE,Spanien liegt im Südwesten Europas auf der Iberischen Halbinsel und ist kein Nachbarland von Deutschland.,Bulgarien liegt im Südosten Europas auf der Balkanhalbinsel und ist kein Nachbarland von Deutschland.,"Norwegen liegt in Nordeuropa und teilt zwar eine Seegrenze mit Deutschland in der Nordsee, aber keine Landgrenze und gilt daher im Kontext dieser Frage nicht als direkter Nachbar.",,
229,TR,"İspanya, İber Yarımadası'nda, Güneybatı Avrupa'da yer almaktadır ve Almanya'nın komşusu değildir.","Bulgaristan, Balkan Yarımadası'nda, Güneydoğu Avrupa'da yer almaktadır ve Almanya'nın komşusu değildir.","Norveç, Kuzey Avrupa'da yer almaktadır ve Almanya ile Kuzey Denizi'nde deniz sınırı paylaşmaktadır, ancak kara sınırı yoktur, bu nedenle bu sorunun bağlamında doğrudan komşu olarak kabul edilmez.",,
229,UK,Іспанія розташована на південному заході Європи на Іберійському півострові і не є сусідом Німеччини.,Болгарія розташована на південному сході Європи на Балканському півострові і не є сусідом Німеччини.,"Норвегія розташована в Північній Європі, має морський кордон з Німеччиною в Північному морі, але не має сухопутного кордону, тому не вважається безпосереднім сусідом у контексті цього питання.",,
229,AR,تقع إسبانيا في جنوب غرب أوروبا في شبه الجزيرة الأيبيرية وليست جارة لألمانيا.,تقع بلغاريا في جنوب شرق أوروبا في شبه جزيرة البلقان وليست جارة لألمانيا.,تقع النرويج في شمال أوروبا، وتشترك في حدود بحرية مع ألمانيا في بحر الشمال، ولكن ليس لها حدود برية، وبالتالي لا تعتبر جارة مباشرة في سياق هذا السؤال.,,
230,EN,,"6 years is incorrect.  The term for the European Parliament is specifically 5 years, not 6.  Confusing this with other electoral terms (e.g., some national parliaments or presidential terms) is a common mistake.",7 years is incorrect. No EU institution has a 7-year term. This option is likely designed to confuse those unfamiliar with the EU's electoral system.,,
230,DE,,"6 Jahre ist falsch. Die Amtszeit des Europäischen Parlaments beträgt genau 5 Jahre, nicht 6. Eine Verwechslung mit anderen Wahlperioden (z. B. einigen nationalen Parlamenten oder Präsidentschaftsmandaten) ist ein häufiger Fehler.","7 Jahre ist falsch. Keine EU-Institution hat eine Amtszeit von 7 Jahren. Diese Option soll wahrscheinlich diejenigen verwirren, die mit dem Wahlsystem der EU nicht vertraut sind.",,
230,TR,,"6 yıl yanlıştır. Avrupa Parlamentosu'nun görev süresi tam olarak 5 yıldır, 6 yıl değildir. Bunu diğer seçim süreleriyle (örneğin, bazı ulusal parlamentolar veya cumhurbaşkanlığı dönemleri) karıştırmak yaygın bir hatadır.","7 yıl yanlıştır. Hiçbir AB kurumunun 7 yıllık bir görev süresi yoktur. Bu seçenek, muhtemelen AB'nin seçim sistemiyle aşina olmayanları şaşırtmak için tasarlanmıştır.",,
230,UK,,"6 років – неправильно. Термін повноважень Європейського Парламенту становить саме 5 років, а не 6. Плутанина з іншими виборчими термінами (наприклад, деякими національними парламентами чи президентськими термінами) є поширеною помилкою.","7 років – неправильно. Жодна установа ЄС не має 7-річного терміну повноважень. Цей варіант, ймовірно, призначений для того, щоб заплутати тих, хто не знайомий з виборчою системою ЄС.",,
230,AR,,6 سنوات غير صحيح. مدة ولاية البرلمان الأوروبي هي 5 سنوات تحديدًا، وليست 6 سنوات. الخلط بين هذا وبين فترات انتخابية أخرى (مثل بعض البرلمانات الوطنية أو فترات الرئاسة) هو خطأ شائع.,7 سنوات غير صحيح. لا توجد مؤسسة تابعة للاتحاد الأوروبي مدة ولايتها 7 سنوات. من المحتمل أن يكون هذا الخيار مصممًا لإرباك أولئك غير المطلعين على النظام الانتخابي للاتحاد الأوروبي.,,
231,EN,"Option A is incorrect.  ""European Integration"" refers to the unification of European countries, not immigration from America to Europe.","Option B is incorrect. ""European Integration"" is about the union of European countries, not stopping immigration.","Option C is incorrect.  This describes European emigration to the USA, the opposite of the concept of European integration.",,
231,DE,"Option A ist falsch. ""Europäische Integration"" bezieht sich auf die Vereinigung europäischer Länder, nicht auf die Einwanderung aus Amerika nach Europa.","Option B ist falsch. Bei der ""Europäischen Integration"" geht es um die Vereinigung europäischer Länder, nicht um den Stopp der Einwanderung.","Option C ist falsch. Dies beschreibt die europäische Auswanderung in die USA, das Gegenteil des Konzepts der europäischen Integration.",,
231,TR,"A seçeneği yanlıştır. ""Avrupa Entegrasyonu"", Avrupa ülkelerinin birleşmesini ifade eder, Amerika'dan Avrupa'ya göçü değil.","B seçeneği yanlıştır. ""Avrupa Entegrasyonu"", Avrupa ülkelerinin birliğiyle ilgilidir, göçü durdurmakla değil.","C seçeneği yanlıştır. Bu, Avrupalıların ABD'ye göçünü tanımlar, Avrupa entegrasyonu kavramının tam tersidir.",,
231,UK,"Варіант A неправильний. «Європейська інтеграція» стосується об'єднання європейських країн, а не імміграції з Америки до Європи.","Варіант B неправильний. «Європейська інтеграція» стосується об'єднання європейських країн, а не припинення імміграції.","Варіант C неправильний. Це описує еміграцію європейців до США, що є протилежністю концепції європейської інтеграції.",,
231,AR,"الخيار A غير صحيح. يشير ""التكامل الأوروبي"" إلى توحيد الدول الأوروبية، وليس الهجرة من أمريكا إلى أوروبا.","الخيار B غير صحيح. ""التكامل الأوروبي"" يتعلق باتحاد الدول الأوروبية، وليس وقف الهجرة.",الخيار C غير صحيح. هذا يصف هجرة الأوروبيين إلى الولايات المتحدة الأمريكية، وهو عكس مفهوم التكامل الأوروبي.,,
232,EN,"The European Commission is appointed, not elected by citizens in the European Parliament elections.  The Commission is the EU's executive branch, responsible for proposing legislation and implementing decisions.",The European Parliament elections do not decide which countries can join the EU.  The accession process for new member states involves separate negotiations and agreements with existing EU members.,,,
232,DE,Die Europäische Kommission wird ernannt und nicht von den Bürgern bei den Europawahlen gewählt. Die Kommission ist die Exekutive der EU und für die Gesetzesvorschläge und die Umsetzung von Entscheidungen zuständig.,"Bei den Europawahlen wird nicht darüber entschieden, welche Länder der EU beitreten dürfen. Das Beitrittsverfahren für neue Mitgliedstaaten umfasst separate Verhandlungen und Abkommen mit bestehenden EU-Mitgliedern.",,,
232,TR,"Avrupa Komisyonu atanır, Avrupa Parlamentosu seçimlerinde vatandaşlar tarafından seçilmez. Komisyon, AB'nin yürütme organıdır ve mevzuat önermekten ve kararları uygulamaktan sorumludur.","Avrupa Parlamentosu seçimleri, hangi ülkelerin AB'ye katılabileceğine karar vermez. Yeni üye devletler için katılım süreci, mevcut AB üyeleriyle ayrı müzakereler ve anlaşmalar içerir.",,,
232,UK,"Європейська Комісія призначається, а не обирається громадянами на виборах до Європейського Парламенту. Комісія є виконавчим органом ЄС, відповідальним за пропозицію законодавства та виконання рішень.","Вибори до Європейського Парламенту не визначають, які країни можуть приєднатися до ЄС. Процес приєднання нових держав-членів включає окремі переговори та угоди з існуючими членами ЄС.",,,
232,AR,يتم تعيين المفوضية الأوروبية، ولا يتم انتخابها من قبل المواطنين في انتخابات البرلمان الأوروبي. المفوضية هي السلطة التنفيذية للاتحاد الأوروبي، وهي مسؤولة عن اقتراح التشريعات وتنفيذ القرارات.,لا تحدد انتخابات البرلمان الأوروبي الدول التي يمكنها الانضمام إلى الاتحاد الأوروبي. تتضمن عملية انضمام الدول الأعضاء الجديدة مفاوضات واتفاقيات منفصلة مع أعضاء الاتحاد الأوروبي الحاليين.,,,
233,EN,,"Bulgaria is located in Southeastern Europe, far from Germany's borders, on the Balkan Peninsula.","Greece is even further south than Bulgaria, located on the southern end of the Balkan Peninsula, bordering the Mediterranean Sea.",,
233,DE,,"Bulgarien liegt in Südosteuropa, weit entfernt von Deutschlands Grenzen, auf der Balkanhalbinsel.","Griechenland liegt noch weiter südlich als Bulgarien, am südlichen Ende der Balkanhalbinsel und grenzt ans Mittelmeer.",,
233,TR,,"Bulgaristan, Almanya sınırlarından uzakta, Balkan Yarımadası'nda, Güneydoğu Avrupa'da yer almaktadır.","Yunanistan, Bulgaristan'dan daha güneyde, Balkan Yarımadası'nın güney ucunda, Akdeniz'e kıyısı olan bir ülkedir.",,
233,UK,,"Болгарія розташована в Південно-Східній Європі, далеко від кордонів Німеччини, на Балканському півострові.","Греція розташована ще далі на південь, ніж Болгарія, на південному кінці Балканського півострова, на узбережжі Середземного моря.",,
233,AR,,تقع بلغاريا في جنوب شرق أوروبا، بعيدًا عن حدود ألمانيا، في شبه جزيرة البلقان.,تقع اليونان في أقصى جنوب بلغاريا، في الطرف الجنوبي من شبه جزيرة البلقان، على حدود البحر الأبيض المتوسط.,,
234,EN,"London is incorrect.  While the UK was a member of the EU until 2020, the European Parliament never had a seat there.  Its institutions were located in other continental cities.","Paris is incorrect. While Paris is a significant city in the EU and hosts other important European institutions, the European Parliament's plenary sessions are not held there.","Berlin is incorrect.  Berlin is the capital of Germany and a key player in the EU, but it's not where the European Parliament's plenary sessions take place.",,
234,DE,"London ist falsch. Obwohl das Vereinigte Königreich bis 2020 Mitglied der EU war, hatte das Europäische Parlament dort nie einen Sitz. Seine Institutionen befanden sich in anderen kontinentalen Städten.","Paris ist falsch. Obwohl Paris eine bedeutende Stadt in der EU ist und andere wichtige europäische Institutionen beherbergt, finden die Plenarsitzungen des Europäischen Parlaments nicht dort statt.","Berlin ist falsch. Berlin ist die Hauptstadt Deutschlands und ein wichtiger Akteur in der EU, aber hier finden nicht die Plenarsitzungen des Europäischen Parlaments statt.",,
234,TR,"Londra yanlıştır.  Birleşik Krallık 2020 yılına kadar AB üyesi olmasına rağmen, Avrupa Parlamentosu'nun orada hiç merkezi olmadı. Kurumları diğer kıta şehirlerinde bulunuyordu.","Paris yanlıştır. Paris, AB'de önemli bir şehir olmasına ve diğer önemli Avrupa kurumlarına ev sahipliği yapmasına rağmen, Avrupa Parlamentosu'nun genel kurul oturumları orada yapılmaz.","Berlin yanlış. Berlin, Almanya'nın başkenti ve AB'de önemli bir oyuncu olmasına rağmen, Avrupa Parlamentosu'nun genel kurul oturumlarının yapıldığı yer değildir.",,
234,UK,"Лондон – неправильна відповідь. Хоча Велика Британія була членом ЄС до 2020 року, Європейський Парламент ніколи не мав там своєї резиденції. Його установи розташовувалися в інших континентальних містах.","Паріж – неправильна відповідь. Хоча Париж є важливим містом у ЄС та приймає інші важливі європейські установи, пленарні засідання Європейського Парламенту там не проводяться.","Берлін – неправильна відповідь. Берлін – столиця Німеччини та ключовий гравець у ЄС, але це не місце, де проводяться пленарні засідання Європейського Парламенту.",,
234,AR,لندن غير صحيحة. بينما كانت المملكة المتحدة عضوًا في الاتحاد الأوروبي حتى عام 2020، لم يكن للبرلمان الأوروبي مقرًا هناك أبدًا. كانت مؤسساته موجودة في مدن قارية أخرى.,باريس غير صحيحة. في حين أن باريس مدينة مهمة في الاتحاد الأوروبي وتستضيف مؤسسات أوروبية مهمة أخرى، فإن الجلسات العامة للبرلمان الأوروبي لا تُعقد هناك.,برلين غير صحيحة. برلين هي عاصمة ألمانيا ولاعب رئيسي في الاتحاد الأوروبي، لكنها ليست المكان الذي تُعقد فيه الجلسات العامة للبرلمان الأوروبي.,,
236,EN,21 is incorrect. The EU has expanded significantly since its early days.  This number doesn't reflect the current composition of the EU.,23 is also incorrect.  The EU surpassed this number of members with later expansions.,25 is incorrect. This number is close but still doesn't account for all current member states.,,
236,DE,21 ist falsch. Die EU hat sich seit ihren Anfängen erheblich erweitert. Diese Zahl spiegelt nicht die aktuelle Zusammensetzung der EU wider.,23 ist ebenfalls falsch. Die EU hat diese Mitgliederzahl mit späteren Erweiterungen überschritten.,"25 ist falsch. Diese Zahl ist nahe, berücksichtigt aber immer noch nicht alle derzeitigen Mitgliedstaaten.",,
236,TR,"21 yanlıştır. AB, ilk günlerinden bu yana önemli ölçüde genişlemiştir. Bu sayı AB'nin mevcut bileşimini yansıtmamaktadır.","23 de yanlıştır. AB, daha sonraki genişlemelerle bu üye sayısını aşmıştır.",25 yanlıştır. Bu sayı yakındır ancak yine de mevcut tüm üye devletleri hesaba katmamaktadır.,,
236,UK,21 неправильно. ЄС значно розширився з перших днів. Це число не відображає поточний склад ЄС.,23 також неправильно. ЄС перевищив цю кількість членів з подальшими розширеннями.,"25 неправильно. Це число близьке, але все ще не враховує всіх нинішніх держав-членів.",,
236,AR,21 غير صحيح. لقد توسع الاتحاد الأوروبي بشكل كبير منذ أيامه الأولى. لا يعكس هذا الرقم التكوين الحالي للاتحاد الأوروبي.,23 غير صحيح أيضًا. تجاوز الاتحاد الأوروبي هذا العدد من الأعضاء مع عمليات التوسع اللاحقة.,25 غير صحيح. هذا الرقم قريب ولكنه لا يزال لا يفسر جميع الدول الأعضاء الحالية.,,
237,EN,"Germany joined NATO in 1955, two years *before* the Treaty of Rome.  NATO is a military alliance, not an economic one.",,"Reparations were largely addressed after WWII, specifically with the London Agreement on German External Debts in 1953. The Treaty of Rome focused on future economic cooperation, not past debts.",,
237,DE,"Deutschland trat der NATO 1955 bei, zwei Jahre *vor* den Römischen Verträgen. Die NATO ist ein Militärbündnis, kein Wirtschaftsbündnis.",,"Reparationsleistungen wurden größtenteils nach dem Zweiten Weltkrieg geregelt, insbesondere mit dem Londoner Schuldenabkommen von 1953. Die Römischen Verträge konzentrierten sich auf die zukünftige wirtschaftliche Zusammenarbeit, nicht auf vergangene Schulden.",,
237,TR,"Almanya, Roma Antlaşması'ndan iki yıl *önce*, 1955'te NATO'ya katıldı. NATO bir askeri ittifaktır, ekonomik bir ittifak değildir.",,"Tazminatlar büyük ölçüde II. Dünya Savaşı'ndan sonra, özellikle 1953'teki Alman Dış Borçları Londra Anlaşması ile ele alındı. Roma Antlaşması geçmiş borçlara değil, gelecekteki ekonomik işbirliğine odaklandı.",,
237,UK,"Німеччина приєдналася до НАТО у 1955 році, за два роки *до* Римського договору. НАТО – це військовий союз, а не економічний.",,"Репарації були значною мірою вирішені після Другої світової війни, зокрема Лондонською угодою про німецькі зовнішні борги 1953 року. Римський договір зосереджувався на майбутній економічній співпраці, а не на минулих боргах.",,
237,AR,انضمت ألمانيا إلى حلف الناتو عام 1955، أي قبل عامين من توقيع معاهدة روما. الناتو هو تحالف عسكري، وليس اقتصاديًا.,,تمت معالجة التعويضات إلى حد كبير بعد الحرب العالمية الثانية، وتحديداً باتفاقية لندن بشأن الديون الخارجية الألمانية عام 1953. ركزت معاهدة روما على التعاون الاقتصادي المستقبلي، وليس على الديون السابقة.,,
238,EN,"Paris, London, and The Hague are not associated with the European Parliament.  Paris is the capital of France, London of the UK (which is no longer part of the EU), and The Hague hosts the International Court of Justice and other international organizations.",,"Rome, Bern, and Vienna are not where the European Parliament operates. Rome is the capital of Italy, Bern of Switzerland, and Vienna of Austria. While these are all EU member states, they do not house the Parliament.",,
238,DE,"Paris, London und Den Haag sind nicht mit dem Europäischen Parlament verbunden. Paris ist die Hauptstadt Frankreichs, London die Hauptstadt des Vereinigten Königreichs (das nicht mehr Teil der EU ist) und Den Haag beherbergt den Internationalen Gerichtshof und andere internationale Organisationen.",,"Rom, Bern und Wien sind nicht die Arbeitsorte des Europäischen Parlaments. Rom ist die Hauptstadt Italiens, Bern die Hauptstadt der Schweiz und Wien die Hauptstadt Österreichs. Obwohl alle EU-Mitgliedstaaten sind, beherbergen sie nicht das Parlament.",,
